Longitude,Latitude,datetime,UHI_Index
-73.9092,40.81311,24-07-2021 15:53,1.030289
-73.9092,40.81305,24-07-2021 15:53,1.030289
-73.9092,40.81298,24-07-2021 15:53,1.023798
-73.9092,40.81291,24-07-2021 15:53,1.023798
-73.9093,40.81285,24-07-2021 15:53,1.021634
-73.9093,40.81278,24-07-2021 15:53,1.021634
-73.9093,40.81271,24-07-2021 15:53,1.015143
-73.9093,40.81264,24-07-2021 15:53,1.015143
-73.9094,40.81256,24-07-2021 15:53,1.012979
-73.9094,40.81249,24-07-2021 15:53,1.012979
-73.9094,40.8124,24-07-2021 15:53,1.010815
-73.9094,40.81233,24-07-2021 15:53,1.010815
-73.9095,40.81224,24-07-2021 15:53,1.010815
-73.9095,40.81216,24-07-2021 15:53,1.010815
-73.9095,40.81209,24-07-2021 15:53,1.010815
-73.9095,40.81203,24-07-2021 15:53,1.010815
-73.9095,40.81198,24-07-2021 15:53,1.010815
-73.9095,40.81194,24-07-2021 15:54,1.010815
-73.9096,40.8119,24-07-2021 15:54,1.010815
-73.9096,40.81186,24-07-2021 15:54,1.010815
-73.9096,40.81181,24-07-2021 15:54,1.012979
-73.9096,40.81175,24-07-2021 15:54,1.012979
-73.9096,40.8117,24-07-2021 15:54,1.012979
-73.9096,40.81164,24-07-2021 15:54,1.012979
-73.9097,40.81158,24-07-2021 15:54,1.012979
-73.9097,40.81151,24-07-2021 15:54,1.012979
-73.9097,40.81144,24-07-2021 15:54,1.012979
-73.9097,40.81138,24-07-2021 15:54,1.012979
-73.9097,40.81132,24-07-2021 15:54,1.012979
-73.9097,40.81123,24-07-2021 15:54,1.012979
-73.9098,40.8112,24-07-2021 15:54,1.012979
-73.9098,40.81116,24-07-2021 15:54,1.015143
-73.9098,40.81112,24-07-2021 15:54,1.015263
-73.9098,40.81106,24-07-2021 15:54,1.015263
-73.9099,40.81087,24-07-2021 15:54,1.019591
-73.9099,40.81081,24-07-2021 15:54,1.019591
-73.9099,40.81075,24-07-2021 15:54,1.021754
-73.91,40.81071,24-07-2021 15:54,1.021754
-73.91,40.81063,24-07-2021 15:54,1.023918
-73.9099,40.8106,24-07-2021 15:54,1.021754
-73.9097,40.81052,24-07-2021 15:54,1.021754
-73.9097,40.8105,24-07-2021 15:54,1.019591
-73.9096,40.81047,24-07-2021 15:54,1.019591
-73.9095,40.81045,24-07-2021 15:54,1.019591
-73.9094,40.81042,24-07-2021 15:54,1.019591
-73.9094,40.8104,24-07-2021 15:54,1.019591
-73.9093,40.81038,24-07-2021 15:54,1.019591
-73.9093,40.81033,24-07-2021 15:54,1.017427
-73.9092,40.81031,24-07-2021 15:54,1.019591
-73.9092,40.81029,24-07-2021 15:55,1.019591
-73.9091,40.81028,24-07-2021 15:55,1.019591
-73.9091,40.81026,24-07-2021 15:55,1.019591
-73.909,40.81024,24-07-2021 15:55,1.019591
-73.9089,40.81022,24-07-2021 15:55,1.019591
-73.9087,40.81017,24-07-2021 15:55,1.021754
-73.9086,40.81016,24-07-2021 15:55,1.021754
-73.9085,40.81014,24-07-2021 15:55,1.021754
-73.9085,40.81013,24-07-2021 15:55,1.023918
-73.9084,40.81013,24-07-2021 15:55,1.023918
-73.9082,40.8101,24-07-2021 15:55,1.015263
-73.9081,40.81008,24-07-2021 15:55,1.015263
-73.908,40.81006,24-07-2021 15:55,1.013099
-73.9079,40.81004,24-07-2021 15:55,1.013099
-73.9078,40.81003,24-07-2021 15:55,1.013099
-73.9075,40.80998,24-07-2021 15:55,1.010936
-73.9074,40.80991,24-07-2021 15:55,1.032693
-73.9074,40.80987,24-07-2021 15:55,1.030529
-73.9074,40.80983,24-07-2021 15:55,1.030529
-73.9074,40.80978,24-07-2021 15:55,1.026202
-73.9075,40.80964,24-07-2021 15:55,1.026202
-73.9075,40.80957,24-07-2021 15:55,1.026202
-73.9075,40.8095,24-07-2021 15:55,1.028366
-73.9075,40.80944,24-07-2021 15:55,1.028366
-73.9076,40.8094,24-07-2021 15:55,1.028366
-73.9076,40.8092,24-07-2021 15:55,1.041348
